iter,shift,sse,delta_sse,stop_shift,stop_sse,converged
1,164041.75855680127,1.7595862420170506E14,,false,false,false
2,41356.628170912074,5.337613776309542E13,1.2258248643860964E14,false,false,false
3,20168.5313129494,4.437629223713962E13,8.999845525955805E12,false,false,false
4,16818.748327995396,4.129873081784667E13,3.0775614192929453E12,false,false,false
5,13773.477934550294,3.934180024040825E13,1.9569305774384219E12,false,false,false
6,12161.430181597958,3.796301760588204E13,1.378782634526211E12,false,false,false
7,9845.432283507338,3.689917595189399E13,1.0638416539880469E12,false,false,false
8,9676.644720072507,3.594677808690671E13,9.523978649872812E11,false,false,false
9,8641.046138821608,3.505540638111271E13,8.91371705794E11,false,false,false
10,8591.806327070506,3.4300569203428734E13,7.548371776839766E11,false,false,false
11,7061.906003653655,3.3660720851037656E13,6.398483523910781E11,false,false,false
12,6487.507867140761,3.31825812951864E13,4.781395558512578E11,false,false,false
13,6486.7277290023485,3.2794433166510254E13,3.8814812867614453E11,false,false,false
14,5936.008606572608,3.2476185230429973E13,3.1824793608028125E11,false,false,false
15,4682.421073359695,3.221646857503762E13,2.5971665539235156E11,false,false,false
16,4692.194741972883,3.2021820473257312E13,1.946481017803086E11,false,false,false
17,4162.30239619943,3.184676283838916E13,1.7505763486815234E11,false,false,false
18,4092.9948932160014,3.1697867371236973E13,1.488954671521875E11,false,false,false
19,3669.47605193026,3.1553932540009855E13,1.439348312271172E11,false,false,false
20,4185.870240604826,3.142299817053555E13,1.3093436947430469E11,false,false,false
21,3463.2108418154917,3.1299435304535938E13,1.2356286599961328E11,false,false,false
22,4190.0521601222335,3.119327437532798E13,1.0616092920795703E11,false,false,false
23,4205.584423348578,3.106902743250919E13,1.2424694281878906E11,false,false,false
24,3653.5441501098267,3.0952295540031758E13,1.167318924774336E11,false,false,false
25,3501.5310389944357,3.0842770703992016E13,1.0952483603974219E11,false,false,false
26,3131.03647541252,3.0735629357521895E13,1.071413464701211E11,false,false,false
27,2768.743841745309,3.065376446989776E13,8.186488762413281E10,false,false,false
28,3225.604273130117,3.0567955364850766E13,8.58091050469961E10,false,false,false
29,3230.7184798969292,3.0472889200131207E13,9.50661647195586E10,false,false,false
30,2917.6452228245457,3.0382373097695832E13,9.0516102435375E10,false,false,false
