1,570,3,6568,both hate Mondays equally
2,137,1,3962,share memes at 3am regularly
3,429,3,5055,escape room teammates forever
4,885,3,7489,gym buddies since forever
5,871,4,5753,snack drawer raiding partners
6,733,1,4237,survived same boring meeting
7,246,1,5003,share memes at 3am regularly
8,875,2,7905,neighbors who share wifi password
9,447,1,383,coffee machine queue besties
10,319,1,5054,met at work event years ago
11,366,1,2295,plants dying together club
12,176,1,5107,old friends from college days
13,441,1,8414,bonded over terrible coffee
14,605,23,4866,neighbors who share wifi password
15,967,1,6140,bonded over terrible coffee
16,879,2,914,bonded over terrible coffee
17,917,1,6691,parking spot nemesis turned friend
18,824,1,6368,share memes at 3am regularly
19,187,1,1685,old friends from college days
20,177,1,2679,argued about pizza toppings
21,906,1,2029,share memes at 3am regularly
22,296,1,508,coffee machine queue besties
23,993,2,241,met debating Oxford comma use
24,305,1,1931,parking spot nemesis turned friend
25,728,3,8335,witnessed the printer jam incident
26,284,1,3312,accidentally wore same outfit once
27,280,3,794,snack drawer raiding partners
28,520,1,5703,deadline panic buddies forever
29,825,2,3073,parking spot nemesis turned friend
30,70,1,3035,plants dying together club
31,574,1,494,neighbors who share wifi password
32,950,2,2985,elevator small talk champions
33,899,21,8677,accidentally wore same outfit once
34,947,1,1138,survived same boring meeting
35,692,5,608,parking spot nemesis turned friend
36,941,1,1513,argued about pizza toppings
37,151,1,5492,elevator small talk champions
38,423,1,1975,old friends from college days
39,527,6,2923,survived same boring meeting
40,512,2,2905,bonded over terrible coffee
41,784,9,3334,neighbors who share wifi password
42,208,1,1245,reply-all incident support group
43,450,1,1182,carpool gang for life
44,378,1,6538,escape room teammates forever
45,547,1,4480,escape room teammates forever
46,901,1,2094,neighbors who share wifi password
47,797,4,400,parking spot nemesis turned friend
48,200,1,6672,share memes at 3am regularly
49,319,79,8655,share memes at 3am regularly
50,258,3,1949,argued about pizza toppings
51,241,3,4942,elevator small talk champions
52,843,1,1454,neighbors who share wifi password
53,667,5,5973,zoom background critics society
54,541,4,629,parking spot nemesis turned friend
55,231,1,4438,parking spot nemesis turned friend
56,74,3,5291,witnessed the printer jam incident
57,343,1,3291,microwave drama survivors
58,665,3,1227,met at work event years ago
59,329,3,1341,share memes at 3am regularly
60,658,10,357,reply-all incident support group
61,880,2,2338,elevator small talk champions
62,672,44,4970,bonded over terrible coffee
63,689,1,4120,witnessed the printer jam incident
64,492,1,443,survived same boring meeting
65,117,1,3060,argued about pizza toppings
66,374,21,855,neighbors who share wifi password
67,921,2,289,elevator small talk champions
68,35,7,7055,escape room teammates forever
69,399,1,1003,gym buddies since forever
70,128,1,854,zoom background critics society
71,687,1,6214,both hate Mondays equally
72,332,7,3981,elevator small talk champions
73,609,1,4041,reply-all incident support group
74,308,2,4183,coffee machine queue besties
75,376,2,7546,old friends from college days
76,324,1,5993,zoom background critics society
77,252,621,2531,argued about pizza toppings
78,574,13,6537,accidentally wore same outfit once
79,679,39,196,both hate Mondays equally
80,238,1,7219,microwave drama survivors
81,601,2,8458,gym buddies since forever
82,11,3,7245,plants dying together club
83,86,1,21,share memes at 3am regularly
84,570,1,5258,carpool gang for life
85,25,1,6353,escape room teammates forever
86,248,1,5767,microwave drama survivors
87,430,2,4791,elevator small talk champions
88,649,1,4907,coffee machine queue besties
89,173,1,426,elevator small talk champions
90,535,1,6952,parking spot nemesis turned friend
91,749,1,426,plants dying together club
92,245,4,7611,met debating Oxford comma use
93,403,1,3527,share memes at 3am regularly
94,13,1,6393,microwave drama survivors
95,206,1,8250,share memes at 3am regularly
96,929,1,7173,reply-all incident support group
97,785,3,2675,deadline panic buddies forever
98,267,1,3114,gym buddies since forever
99,461,2,1884,elevator small talk champions
100,775,4,3356,accidentally wore same outfit once
